code,product_name,brands,categories,energy-kcal_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,ingredients_text,url,last_modified_datetime
8901764022272,Fanta Orange Flv 750ml,The Coca-cola company,"Sodas, Sweetened beverages, Fanta",52,13,13,0,0,0,0,0,4,e,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (330), STABILIZERS (414, 445), PRESERVATIVE (211), COLOUR (110), FLAVOURS (NATURAL & NATURE-IDENTICAL FLAVORING SUBSTANCES).",https://in.openfoodfacts.org/product/8901764022272/fanta-orange-flv-750ml-the-coca-cola-company,2026-07-12T08:20:22Z
8908003058245,Satvik Foods Roasted PumMpkin Seee TASTY CRUNCHY • HEALTHY SUPER FOOD +PREMIUM EHASED,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8908003058245/satvik-foods-roasted-pummpkin-seee-tasty-crunchy-healthy-super-food-premium-ehased,2026-07-12T07:59:40Z
8901042971117,MTR Quick breakfast multipack poha,MTR,Not ready to eat combination meals,415,67.1666666666667,4.5,3,8,12,5,3.33333333333333,,e,,https://in.openfoodfacts.org/product/8901042971117/mtr-quick-breakfast-multipack-poha,2026-07-12T06:25:17Z
8906106070034,Jowar & Sweet Potato Flour Espresso Coffee Cake Mix,Serapheena,Cake mixes,381.1,88.8,51.6,3.3,3.6,1.3,,,4,unknown,"Sachet 1: Jawar (Sorghum), Starch (Sweet Potato, Tapioca), Baking Powder, Salt CONTAINS NATURE IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA) Sachet 2: Raw Cane Sugar Sachet 3: Coffee Powder No Preservatives. No Xanthan Gum.",https://in.openfoodfacts.org/product/8906106070034/jowar-sweet-potato-flour-espresso-coffee-cake-mix-serapheena,2026-07-12T06:14:09Z
8904132902268,raskik nimbu pani,Raskik,Beverages,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8904132902268/raskik-nimbu-pani,2026-07-12T06:10:12Z
8902080304349,7up 2.25,7up,Colas,47,11.7,11.7,0,0,0,0,0.045,,e,,https://in.openfoodfacts.org/product/8902080304349/7up-2-25,2026-07-12T04:49:46Z
8901207032110,Real litchi juice 180ml,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901207032110/real-litchi-juice-180ml,2026-07-12T04:47:29Z
8904132901698,sun crush indian mixed fruit,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8904132901698/sun-crush-indian-mixed-fruit,2026-07-12T04:45:45Z
8904132904187,sun crush mango,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8904132904187/sun-crush-mango,2026-07-12T04:45:07Z
8904132976443,nimbu pani,Ras Kik,Beverages,45.3,11.3,11.3,,0,0,,0.354,4,e,"WATER, SUGAR, LEMON JUICE CONCENTRATE, IODIZED SALT, PRESERVATIVE (211), ACIDITY REGULATORS (331),330 ), ANTIOXIDANT (300), NATURE IDENTICAL FLAVOURING SUBSTANCES.",https://in.openfoodfacts.org/product/8904132976443/nimbu-pani-ras-kik,2026-07-12T04:44:00Z
8901262153294,8901262153294,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901262153294/8901262153294,2026-07-12T04:42:17Z
8901262153270,Amul tru orange juice 150ml tpk,Amul,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901262153270/amul-tru-orange-juice-150ml-tpk,2026-07-12T04:42:07Z
